e,is
essere,to be
lo,the
il,the
o,or
>,>
potere,power
volere,want
dovere,must
sapere,know
c',c '
dire,to say
anarchico,anarchist
venire,to come
mettere,to put
usare,use
pensare,to think
vedere,to see
andare,to go
scrivere,to write
leggere,to read
trovare,to find
poco,little
della,of the
piacere,pleasure
parlare,speak
problema,problem
capire,to understand
storia,history
é,is
chiedere,to ask
iniziare,to start
riuscire,to success
provare,try out
alla,a
una,a
altro,other
prendere,to take
sentire,feel
cosa,thing
credere,to believe
italiano,Italian
politico,politic
uscire,go out
=,=
puntare,bet
the,the
diverso,different
l',L'
è,is
di,of
perchè,because
parere,opinion
librare,soar
fare,do
piccolo,small
leggero,light
passare,to pass
sì,Yup
genitore,parent
guardare,to look
unico,single
dare,give
tipo,guy
capitare,happen
giocare,to play
amico,friend
libro,book
i,the
cambiare,to change
